--------- beginning of main
--------- beginning of system
08-05 01:58:50.974  1111  7068 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 01:58:50.977  1111  7068 D CustomInterceptor: HEADER REQUEST
08-05 01:58:50.977  1111  7068 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 01:58:50.978  1111  7068 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 01:58:50.978  1111  7068 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 01:58:50.979  1111  7068 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-05 01:58:50.979  1111  7068 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 01:58:51.573  1111  7068 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 01:58:51.612  1111  7068 D CustomInterceptor: HEADER RESPONSE
08-05 01:58:51.612  1111  7068 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 01:58:51.612  1111  7068 D CustomInterceptor: Connection close
08-05 01:58:51.612  1111  7068 D CustomInterceptor: Content-Type application/json
08-05 01:58:51.612  1111  7068 D CustomInterceptor: Date Tue, 04 Aug 2020 23:58:46 GMT
08-05 01:58:51.612  1111  7068 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:03:51 GMT+00:00
08-05 01:58:51.612  1111  7068 D CustomInterceptor: Last-Modified Tue, 04 Aug 2020 23:58:46 GMT
08-05 01:58:51.612  1111  7068 D CustomInterceptor: Server gunicorn/19.7.0
08-05 01:58:51.612  1111  7068 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 01:58:51.612  1111  7068 D CustomInterceptor: Transfer-Encoding chunked
08-05 01:58:51.612  1111  7068 D CustomInterceptor: Vary Cookie
08-05 01:58:51.612  1111  7068 D CustomInterceptor: X-gunicorn-server app14
08-05 01:58:51.612  1111  7068 D CustomInterceptor: X-Homer You don't win friends with salad.
08-05 01:58:51.612  1111  7068 D CustomInterceptor: CACHEABLE true
08-05 01:58:51.613  1111  7068 D CustomInterceptor: REQ https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 01:58:51.613  1111  7068 D CustomInterceptor: REQ_SERV_BY net
08-05 01:58:51.613  1111  7068 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 01:58:51.614  1111  7068 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 01:58:51.639  1111  7088 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 01:58:51.640  1111  7088 D CustomInterceptor: HEADER REQUEST
08-05 01:58:51.640  1111  7088 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 01:58:51.640  1111  7088 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 01:58:51.640  1111  7088 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 01:58:51.640  1111  7088 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-05 01:58:51.640  1111  7088 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 01:58:52.057  1111  7088 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 01:58:52.058  1111  7088 D CustomInterceptor: HEADER RESPONSE
08-05 01:58:52.058  1111  7088 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 01:58:52.058  1111  7088 D CustomInterceptor: Connection close
08-05 01:58:52.058  1111  7088 D CustomInterceptor: Content-Type application/json
08-05 01:58:52.059  1111  7088 D CustomInterceptor: Date Tue, 04 Aug 2020 23:58:47 GMT
08-05 01:58:52.059  1111  7088 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:03:52 GMT+00:00
08-05 01:58:52.059  1111  7088 D CustomInterceptor: Server gunicorn/19.7.0
08-05 01:58:52.059  1111  7088 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 01:58:52.059  1111  7088 D CustomInterceptor: Transfer-Encoding chunked
08-05 01:58:52.059  1111  7088 D CustomInterceptor: Vary Cookie
08-05 01:58:52.059  1111  7088 D CustomInterceptor: X-Chief-Wiggum I hope this has taught you kids a lesson: kids never learn.
08-05 01:58:52.059  1111  7088 D CustomInterceptor: X-gunicorn-server app17
08-05 01:58:52.059  1111  7088 D CustomInterceptor: CACHEABLE true
08-05 01:58:52.059  1111  7088 D CustomInterceptor: REQ https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 01:58:52.059  1111  7088 D CustomInterceptor: REQ_SERV_BY net
08-05 01:58:52.059  1111  7088 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 01:58:52.061  1111  7088 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 01:58:57.821  1111  7284 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 01:58:57.821  1111  7284 D CustomInterceptor: HEADER REQUEST
08-05 01:58:57.822  1111  7284 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 01:58:57.822  1111  7284 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 01:58:57.822  1111  7284 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 01:58:57.822  1111  7284 D CustomInterceptor: CACHED STATS: size = '2', maxSize = '100', hitCount = '2', createCount = '0', putCount = '2', evictionCount = '0', missCount = '2', toString = 'LruCache[maxSize=100,hits=2,misses=2,hitRate=50%]', 
08-05 01:58:57.822  1111  7284 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 01:58:58.333  1111  7284 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 01:58:58.334  1111  7284 D CustomInterceptor: HEADER RESPONSE
08-05 01:58:58.334  1111  7284 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 01:58:58.334  1111  7284 D CustomInterceptor: Connection close
08-05 01:58:58.334  1111  7284 D CustomInterceptor: Content-Type application/json
08-05 01:58:58.334  1111  7284 D CustomInterceptor: Date Tue, 04 Aug 2020 23:58:53 GMT
08-05 01:58:58.334  1111  7284 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:03:58 GMT+00:00
08-05 01:58:58.334  1111  7284 D CustomInterceptor: Server gunicorn/19.7.0
08-05 01:58:58.334  1111  7284 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 01:58:58.334  1111  7284 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-05 01:58:58.334  1111  7284 D CustomInterceptor: X-gunicorn-server app12
08-05 01:58:58.334  1111  7284 D CustomInterceptor: X-Homer Save me, Jeebus.
08-05 01:58:58.334  1111  7284 D CustomInterceptor: CACHEABLE true
08-05 01:58:58.334  1111  7284 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 01:58:58.334  1111  7284 D CustomInterceptor: REQ_SERV_BY net
08-05 01:58:58.334  1111  7284 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 01:58:58.339  1111  7284 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 01:58:58.459  1111  7305 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 01:58:58.460  1111  7305 D CustomInterceptor: HEADER REQUEST
08-05 01:58:58.460  1111  7305 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 01:58:58.460  1111  7305 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '3', toString = 'LruCache[maxSize=100,hits=3,misses=3,hitRate=50%]', 
08-05 01:58:58.460  1111  7305 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 01:58:58.481  1111  7308 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 01:58:58.482  1111  7308 D CustomInterceptor: HEADER REQUEST
